Sample,Number cells,Number cells after filtering,Number Oligo,Number Excit,Number Inhib,Number Multi,Number Other
AKT3_Rep#1,102661,99864,21541,13729,5518,594,58482
AKT3_Rep#2,101475,94761,19810,16749,5598,1061,51543
AKT3_Rep#3,97174,89717,19536,17870,5922,1409,44980
ARID1B_Rep#1,101513,92794,14848,20639,5096,2733,49478
ARID1B_Rep#2,94528,88908,15250,20135,4892,2756,45875
ARID1B_Rep#3,89289,85413,16959,18994,4264,2139,43057
MALAT1/POLR2A_Rep#1,102654,99912,22073,9322,NA,406,68111
MALAT1/POLR2A_Rep#2,109130,106123,26304,13625,NA,876,65318
MALAT1/POLR2A_Rep#3,80796,68202,21567,9661,NA,589,36385
