"ensembl_id","Symbol","Gene.Type","t","ALL.top50","ALL.max_PropZero","ALL.PropZero_filter","ALL.rank_invar","AMY.top50","AMY.max_PropZero","AMY.PropZero_filter","AMY.rank_invar","DLPFC.top50","DLPFC.max_PropZero","DLPFC.PropZero_filter","DLPFC.rank_invar","HPC.top50","HPC.max_PropZero","HPC.PropZero_filter","HPC.rank_invar","NAc.top50","NAc.max_PropZero","NAc.PropZero_filter","NAc.rank_invar","sACC.top50","sACC.max_PropZero","sACC.PropZero_filter","sACC.rank_invar"
"ENSG00000238009","AL627309.1",NA,51.1884050204668,TRUE,1,FALSE,NA,TRUE,1,FALSE,NA,TRUE,1,FALSE,NA,TRUE,0.953488372093023,FALSE,NA,TRUE,0.955656993805021,FALSE,NA,TRUE,0.965314136125654,FALSE,NA
"ENSG00000235146","AC114498.1",NA,9.84434552390102,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA
"ENSG00000237491","AL669831.5",NA,106.687295937604,TRUE,0.96875,FALSE,NA,TRUE,0.967741935483871,FALSE,NA,TRUE,1,FALSE,NA,TRUE,0.884615384615385,FALSE,NA,TRUE,0.954545454545455,FALSE,NA,TRUE,0.855802792321117,FALSE,NA
"ENSG00000225880","LINC00115",NA,18.115698993286,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA
"ENSG00000230368","FAM41C",NA,8.93164287147055,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA
"ENSG00000272438","AL645608.7",NA,6.04825913502415,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA
"ENSG00000187634","SAMD11",NA,17.6001624739232,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA
"ENSG00000188976","NOC2L",NA,48.8073727558867,TRUE,1,FALSE,NA,TRUE,1,FALSE,NA,TRUE,1,FALSE,NA,TRUE,0.976744186046512,FALSE,NA,TRUE,0.954545454545455,FALSE,NA,TRUE,0.946428571428571,FALSE,NA
"ENSG00000187961","KLHL17",NA,24.2226286829996,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA
"ENSG00000272512","AL645608.8",NA,15.1942478570854,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA
