"","AMY","DLPFC","HPC","NAc","sACC"
"Astro",1638,782,1170,1099,907
"Endo",31,0,0,0,0
"Macro",0,10,0,22,0
"Micro",1168,388,1126,492,784
"Mural",39,18,43,0,0
"Oligo",6080,5455,5912,6134,4584
"OPC",1459,572,838,669,911
"Tcell",31,9,26,0,0
"Excit",443,2388,623,0,4163
"Inhib",3117,1580,366,11476,3974
