"","Symbol","ensembl_id","top50","max_PropZero","PropZero_filter","rank_invar","Gene Type","t"
"10486","AC100818.1","ENSG00000253452",FALSE,NA,FALSE,NA,NA,29.2451949729771
"10487","AC124290.1","ENSG00000253524",FALSE,NA,FALSE,NA,NA,13.5247884264341
"10488","AC090809.1","ENSG00000253363",FALSE,NA,FALSE,NA,NA,15.0043110622737
"10489","KCNU1","ENSG00000215262",FALSE,NA,FALSE,NA,NA,12.1805118821295
"10490","LINC01605","ENSG00000253161",FALSE,NA,FALSE,NA,NA,27.271965591358
"10491","AC137579.2","ENSG00000254306",FALSE,NA,FALSE,NA,NA,12.3261946338142
"10492","AC137579.1","ENSG00000253344",FALSE,NA,FALSE,NA,NA,17.9336783813473
"10493","ZNF703","ENSG00000183779",FALSE,NA,FALSE,NA,NA,20.8558299468211
"10494","AC138356.3","ENSG00000253181",FALSE,NA,FALSE,NA,NA,8.86222076068405
"10495","AC138356.1","ENSG00000183154",FALSE,NA,FALSE,NA,NA,6.86580689364723
"10496","ERLIN2","ENSG00000147475",TRUE,1,FALSE,NA,NA,45.889934982806
"10497","PLPBP","ENSG00000147471",TRUE,0.954545454545455,FALSE,NA,NA,59.8213252264297
"10498","ADGRA2","ENSG00000020181",FALSE,NA,FALSE,NA,NA,36.0631758615904
"10499","BRF2","ENSG00000104221",FALSE,NA,FALSE,NA,NA,28.1556080913493
"10500","RAB11FIP1","ENSG00000156675",TRUE,0.996581196581197,FALSE,NA,NA,47.2064499771824
"10501","GOT1L1","ENSG00000169154",FALSE,NA,FALSE,NA,NA,8.93981286349546
"10502","ADRB3","ENSG00000188778",FALSE,NA,FALSE,NA,NA,6.86042906558888
"10503","EIF4EBP1","ENSG00000187840",FALSE,NA,FALSE,NA,NA,21.0213777495417
"10504","AP006545.2","ENSG00000272128",FALSE,NA,FALSE,NA,NA,8.08849925287822
"10505","ASH2L","ENSG00000129691",TRUE,0.884598603839442,FALSE,NA,NA,76.5061315809435
"10506","STAR","ENSG00000147465",FALSE,NA,FALSE,NA,NA,12.9043733996747
"10507","AC084024.3","ENSG00000253356",FALSE,NA,FALSE,NA,NA,20.9999327969478
"10508","LSM1","ENSG00000175324",TRUE,0.984848484848485,FALSE,NA,NA,44.1164220786014
"10509","BAG4","ENSG00000156735",TRUE,0.96875,FALSE,NA,NA,87.3775691277946
"10510","DDHD2","ENSG00000085788",TRUE,0.954545454545455,FALSE,NA,NA,99.1072276183023
"10511","PLPP5","ENSG00000147535",TRUE,1,FALSE,NA,NA,46.0536951222478
"10512","NSD3","ENSG00000147548",TRUE,0.524234693877551,TRUE,540,NA,186.874775496558
"10513","AC087362.1","ENSG00000254898",FALSE,NA,FALSE,NA,NA,7.00667461772159
"10514","AC087623.3","ENSG00000272092",FALSE,NA,FALSE,NA,NA,13.1402189485068
"10515","LETM2","ENSG00000165046",FALSE,NA,FALSE,NA,NA,42.2597678983874
"10516","AC087623.1","ENSG00000254981",FALSE,NA,FALSE,NA,NA,13.2400644491605
"10517","AC087623.4","ENSG00000272159",FALSE,NA,FALSE,NA,NA,16.2363201302842
"10518","FGFR1","ENSG00000077782",TRUE,0.969512195121951,FALSE,NA,NA,66.3583595495608
"10519","AC087623.2","ENSG00000255201",FALSE,NA,FALSE,NA,NA,12.4460336885778
"10520","C8orf86","ENSG00000196166",FALSE,NA,FALSE,NA,NA,21.2327943858111
"10521","AC069120.1","ENSG00000253361",TRUE,1,FALSE,NA,NA,34.25679927949
"10522","TACC1","ENSG00000147526",TRUE,0.636363636363636,TRUE,654,NA,153.208256610888
"10523","AC067817.2","ENSG00000253829",FALSE,NA,FALSE,NA,NA,9.24128960536411
"10524","PLEKHA2","ENSG00000169499",TRUE,0.976351970669111,FALSE,NA,NA,69.3729515122551
"10525","AC108863.1","ENSG00000253645",FALSE,NA,FALSE,NA,NA,6.98457832062394
"10526","HTRA4","ENSG00000169495",FALSE,NA,FALSE,NA,NA,13.4391414911015
"10527","TM2D2","ENSG00000169490",FALSE,NA,FALSE,NA,NA,33.097368539172
"10528","ADAM9","ENSG00000168615",TRUE,0.939393939393939,FALSE,NA,NA,93.4087991571525
"10529","ADAM32","ENSG00000197140",TRUE,1,FALSE,NA,NA,59.4218119864075
"10530","ADAM18","ENSG00000168619",FALSE,NA,FALSE,NA,NA,14.7969456516219
"10531","ADAM2","ENSG00000104755",FALSE,NA,FALSE,NA,NA,11.3831519551347
"10532","IDO1","ENSG00000131203",FALSE,NA,FALSE,NA,NA,17.3617791647447
"10533","AC007991.3","ENSG00000253939",FALSE,NA,FALSE,NA,NA,18.0919429435781
"10534","IDO2","ENSG00000188676",FALSE,NA,FALSE,NA,NA,13.2038267878685
