"","Symbol","ensembl_id","top50","PropZero_filter","rank_invar"
"37","VWA1","ENSG00000179403",TRUE,FALSE,NA
"38","ATAD3C","ENSG00000215915",TRUE,FALSE,NA
"39","ATAD3B","ENSG00000160072",TRUE,FALSE,NA
"40","ATAD3A","ENSG00000197785",TRUE,FALSE,NA
"41","TMEM240","ENSG00000205090",FALSE,FALSE,NA
"42","SSU72","ENSG00000160075",TRUE,FALSE,NA
"43","AL645728.1","ENSG00000215014",FALSE,FALSE,NA
"44","FNDC10","ENSG00000228594",FALSE,FALSE,NA
"45","AL691432.2","ENSG00000272106",FALSE,FALSE,NA
"46","MIB2","ENSG00000197530",TRUE,FALSE,NA
"47","MMP23B","ENSG00000189409",FALSE,FALSE,NA
"48","CDK11B","ENSG00000248333",TRUE,FALSE,NA
"49","FO704657.1","ENSG00000272004",FALSE,FALSE,NA
"50","SLC35E2B","ENSG00000189339",TRUE,FALSE,NA
"51","CDK11A","ENSG00000008128",TRUE,FALSE,NA
"52","SLC35E2A","ENSG00000215790",TRUE,FALSE,NA
"53","NADK","ENSG00000008130",TRUE,FALSE,NA
"54","GNB1","ENSG00000078369",TRUE,TRUE,310
"55","AL109917.1","ENSG00000231050",FALSE,FALSE,NA
"56","CALML6","ENSG00000169885",FALSE,FALSE,NA
"57","TMEM52","ENSG00000178821",FALSE,FALSE,NA
"58","CFAP74","ENSG00000142609",TRUE,FALSE,NA
"59","AL391845.2","ENSG00000233542",FALSE,FALSE,NA
"60","GABRD","ENSG00000187730",TRUE,FALSE,NA
"61","PRKCZ","ENSG00000067606",TRUE,FALSE,NA
"62","AL590822.2","ENSG00000271806",FALSE,FALSE,NA
"63","PRKCZ-AS1","ENSG00000182873",FALSE,FALSE,NA
"64","FAAP20","ENSG00000162585",TRUE,FALSE,NA
"65","AL590822.1","ENSG00000234396",FALSE,FALSE,NA
"66","SKI","ENSG00000157933",TRUE,FALSE,NA
"67","MORN1","ENSG00000116151",TRUE,FALSE,NA
"68","RER1","ENSG00000157916",TRUE,FALSE,NA
"69","PEX10","ENSG00000157911",TRUE,FALSE,NA
"70","PLCH2","ENSG00000149527",TRUE,FALSE,NA
"71","PANK4","ENSG00000157881",FALSE,FALSE,NA
"72","HES5","ENSG00000197921",FALSE,FALSE,NA
"73","AL139246.5","ENSG00000272449",FALSE,FALSE,NA
"74","TNFRSF14","ENSG00000157873",FALSE,FALSE,NA
"75","FAM213B","ENSG00000157870",FALSE,FALSE,NA
"76","MMEL1","ENSG00000142606",FALSE,FALSE,NA
"77","TTC34","ENSG00000215912",FALSE,FALSE,NA
"78","LINC00982","ENSG00000177133",FALSE,FALSE,NA
"79","PRDM16","ENSG00000142611",TRUE,FALSE,NA
"80","ARHGEF16","ENSG00000130762",FALSE,FALSE,NA
"81","MEGF6","ENSG00000162591",FALSE,FALSE,NA
"82","AL513320.1","ENSG00000238260",FALSE,FALSE,NA
"83","TPRG1L","ENSG00000158109",TRUE,FALSE,NA
"84","WRAP73","ENSG00000116213",TRUE,FALSE,NA
"85","TP73","ENSG00000078900",FALSE,FALSE,NA
"86","LRRC47","ENSG00000130764",TRUE,FALSE,NA
"87","CEP104","ENSG00000116198",TRUE,FALSE,NA
"88","DFFB","ENSG00000169598",TRUE,FALSE,NA
"89","C1orf174","ENSG00000198912",FALSE,FALSE,NA
"90","LINC01134","ENSG00000236423",FALSE,FALSE,NA
"91","LINC01346","ENSG00000233304",FALSE,FALSE,NA
"92","AL805961.1","ENSG00000284668",FALSE,FALSE,NA
"93","AL805961.2","ENSG00000284703",FALSE,FALSE,NA
"94","AJAP1","ENSG00000196581",TRUE,FALSE,NA
"95","AL365255.1","ENSG00000236948",TRUE,FALSE,NA
"96","NPHP4","ENSG00000131697",TRUE,FALSE,NA
"97","KCNAB2","ENSG00000069424",TRUE,FALSE,NA
"98","CHD5","ENSG00000116254",TRUE,FALSE,NA
"99","RPL22","ENSG00000116251",TRUE,FALSE,NA
"100","RNF207","ENSG00000158286",TRUE,FALSE,NA
"101","ICMT","ENSG00000116237",TRUE,FALSE,NA
"102","GPR153","ENSG00000158292",FALSE,FALSE,NA
"103","ACOT7","ENSG00000097021",TRUE,FALSE,NA
"104","AL031848.2","ENSG00000271746",FALSE,FALSE,NA
"105","HES2","ENSG00000069812",FALSE,FALSE,NA
"106","ESPN","ENSG00000187017",FALSE,FALSE,NA
"107","TNFRSF25","ENSG00000215788",TRUE,FALSE,NA
"108","PLEKHG5","ENSG00000171680",TRUE,FALSE,NA
"109","NOL9","ENSG00000162408",TRUE,FALSE,NA
"110","TAS1R1","ENSG00000173662",FALSE,FALSE,NA
"111","ZBTB48","ENSG00000204859",TRUE,FALSE,NA
"112","KLHL21","ENSG00000162413",TRUE,FALSE,NA
"113","PHF13","ENSG00000116273",FALSE,FALSE,NA
"114","THAP3","ENSG00000041988",FALSE,FALSE,NA
"115","DNAJC11","ENSG00000007923",TRUE,FALSE,NA
"116","CAMTA1-DT","ENSG00000237436",FALSE,FALSE,NA
"117","CAMTA1","ENSG00000171735",TRUE,TRUE,772
"118","AL512330.1","ENSG00000237365",FALSE,FALSE,NA
"119","AL359881.3","ENSG00000270171",FALSE,FALSE,NA
"120","AL359881.1","ENSG00000269978",FALSE,FALSE,NA
"121","VAMP3","ENSG00000049245",TRUE,FALSE,NA
"122","PER3","ENSG00000049246",TRUE,FALSE,NA
"123","Z98884.1","ENSG00000236266",FALSE,FALSE,NA
"124","UTS2","ENSG00000049247",FALSE,FALSE,NA
"125","TNFRSF9","ENSG00000049249",FALSE,FALSE,NA
"126","PARK7","ENSG00000116288",TRUE,FALSE,NA
"127","AL034417.4","ENSG00000284747",FALSE,FALSE,NA
"128","AL034417.3","ENSG00000284716",FALSE,FALSE,NA
"129","ERRFI1","ENSG00000116285",TRUE,FALSE,NA
"130","AL034417.2","ENSG00000238290",FALSE,FALSE,NA
"131","SLC45A1","ENSG00000162426",TRUE,FALSE,NA
"132","RERE","ENSG00000142599",TRUE,TRUE,867
"133","AL096855.1","ENSG00000232912",FALSE,FALSE,NA
"134","ENO1","ENSG00000074800",TRUE,FALSE,NA
"135","ENO1-AS1","ENSG00000230679",FALSE,FALSE,NA
"136","CA6","ENSG00000131686",FALSE,FALSE,NA
"137","SLC2A7","ENSG00000197241",FALSE,FALSE,NA
"138","SLC2A5","ENSG00000142583",TRUE,FALSE,NA
"139","GPR157","ENSG00000180758",FALSE,FALSE,NA
"140","MIR34AHG","ENSG00000228526",TRUE,FALSE,NA
"141","LINC01759","ENSG00000234546",FALSE,FALSE,NA
"142","H6PD","ENSG00000049239",TRUE,FALSE,NA
"143","SPSB1","ENSG00000171621",TRUE,FALSE,NA
"144","AL928921.2","ENSG00000284693",FALSE,FALSE,NA
"145","SLC25A33","ENSG00000171612",TRUE,FALSE,NA
"146","TMEM201","ENSG00000188807",FALSE,FALSE,NA
"147","PIK3CD","ENSG00000171608",TRUE,FALSE,NA
"148","PIK3CD-AS2","ENSG00000231789",FALSE,FALSE,NA
"149","CLSTN1","ENSG00000171603",TRUE,FALSE,NA
"150","CTNNBIP1","ENSG00000178585",TRUE,FALSE,NA
"151","LZIC","ENSG00000162441",TRUE,FALSE,NA
"152","NMNAT1","ENSG00000173614",TRUE,FALSE,NA
"153","RBP7","ENSG00000162444",FALSE,FALSE,NA
"154","UBE4B","ENSG00000130939",TRUE,TRUE,390
"155","KIF1B","ENSG00000054523",TRUE,TRUE,841
"156","AL139424.3","ENSG00000284735",FALSE,FALSE,NA
"157","AL139424.2","ENSG00000284642",FALSE,FALSE,NA
"158","PGD","ENSG00000142657",TRUE,FALSE,NA
"159","CENPS-CORT","ENSG00000251503",FALSE,FALSE,NA
"160","DFFA","ENSG00000160049",TRUE,FALSE,NA
"161","PEX14","ENSG00000142655",TRUE,FALSE,NA
"162","CASZ1","ENSG00000130940",FALSE,FALSE,NA
"163","AL139423.1","ENSG00000272078",FALSE,FALSE,NA
"164","C1orf127","ENSG00000175262",FALSE,FALSE,NA
"165","TARDBP","ENSG00000120948",FALSE,FALSE,NA
"166","AL109811.4","ENSG00000277726",FALSE,FALSE,NA
"167","MASP2","ENSG00000009724",FALSE,FALSE,NA
"168","SRM","ENSG00000116649",TRUE,FALSE,NA
"169","EXOSC10","ENSG00000171824",TRUE,FALSE,NA
"170","AL109811.1","ENSG00000226849",FALSE,FALSE,NA
"171","AL109811.2","ENSG00000230337",FALSE,FALSE,NA
"172","MTOR","ENSG00000198793",TRUE,FALSE,NA
"173","MTOR-AS1","ENSG00000225602",FALSE,FALSE,NA
"174","ANGPTL7","ENSG00000171819",FALSE,FALSE,NA
"175","UBIAD1","ENSG00000120942",TRUE,FALSE,NA
"176","AL031291.1","ENSG00000284646",FALSE,FALSE,NA
"177","DISP3","ENSG00000204624",TRUE,FALSE,NA
"178","AL031731.1","ENSG00000284708",FALSE,FALSE,NA
"179","FBXO2","ENSG00000116661",TRUE,FALSE,NA
"180","FBXO44","ENSG00000132879",TRUE,FALSE,NA
"181","FBXO6","ENSG00000116663",FALSE,FALSE,NA
"182","MAD2L2","ENSG00000116670",FALSE,FALSE,NA
"183","DRAXIN","ENSG00000162490",FALSE,FALSE,NA
"184","AGTRAP","ENSG00000177674",FALSE,FALSE,NA
"185","C1orf167","ENSG00000215910",FALSE,FALSE,NA
"186","MTHFR","ENSG00000177000",TRUE,FALSE,NA
"187","CLCN6","ENSG00000011021",TRUE,FALSE,NA
"188","NPPA-AS1","ENSG00000242349",FALSE,FALSE,NA
"189","NPPA","ENSG00000175206",FALSE,FALSE,NA
"190","NPPB","ENSG00000120937",FALSE,FALSE,NA
"191","KIAA2013","ENSG00000116685",TRUE,FALSE,NA
"192","PLOD1","ENSG00000083444",TRUE,FALSE,NA
"193","MFN2","ENSG00000116688",TRUE,FALSE,NA
"194","MIIP","ENSG00000116691",FALSE,FALSE,NA
"195","TNFRSF8","ENSG00000120949",FALSE,FALSE,NA
"196","TNFRSF1B","ENSG00000028137",TRUE,FALSE,NA
"197","VPS13D","ENSG00000048707",TRUE,TRUE,394
"198","DHRS3","ENSG00000162496",TRUE,FALSE,NA
"199","C1orf158","ENSG00000157330",FALSE,FALSE,NA
"200","LRRC38","ENSG00000162494",FALSE,FALSE,NA
"201","PDPN","ENSG00000162493",FALSE,FALSE,NA
"202","PRDM2","ENSG00000116731",TRUE,TRUE,375
"203","KAZN","ENSG00000189337",TRUE,FALSE,NA
"204","KAZN-AS1","ENSG00000234593",FALSE,FALSE,NA
"205","TMEM51-AS1","ENSG00000175147",FALSE,FALSE,NA
"206","TMEM51","ENSG00000171729",TRUE,FALSE,NA
"207","C1orf195","ENSG00000204464",FALSE,FALSE,NA
"208","FHAD1","ENSG00000142621",FALSE,FALSE,NA
"209","AL031283.2","ENSG00000233485",FALSE,FALSE,NA
"210","AL031283.1","ENSG00000228140",FALSE,FALSE,NA
"211","EFHD2","ENSG00000142634",TRUE,FALSE,NA
"212","CTRC","ENSG00000162438",FALSE,FALSE,NA
"213","CELA2A","ENSG00000142615",FALSE,FALSE,NA
"214","CELA2B","ENSG00000215704",FALSE,FALSE,NA
"215","CASP9","ENSG00000132906",TRUE,FALSE,NA
"216","DNAJC16","ENSG00000116138",TRUE,FALSE,NA
"217","AGMAT","ENSG00000116771",FALSE,FALSE,NA
"218","AL121992.1","ENSG00000237301",FALSE,FALSE,NA
"219","DDI2","ENSG00000197312",TRUE,FALSE,NA
"220","PLEKHM2","ENSG00000116786",TRUE,FALSE,NA
"221","AL450998.3","ENSG00000237938",FALSE,FALSE,NA
"222","SLC25A34","ENSG00000162461",FALSE,FALSE,NA
"223","SLC25A34-AS1","ENSG00000224459",FALSE,FALSE,NA
"224","FBLIM1","ENSG00000162458",FALSE,FALSE,NA
"225","UQCRHL","ENSG00000233954",FALSE,FALSE,NA
"226","AL450998.2","ENSG00000179743",TRUE,FALSE,NA
"227","SPEN","ENSG00000065526",TRUE,TRUE,793.5
"228","ZBTB17","ENSG00000116809",TRUE,FALSE,NA
"229","FAM131C","ENSG00000185519",FALSE,FALSE,NA
"230","EPHA2","ENSG00000142627",FALSE,FALSE,NA
"231","ARHGEF19","ENSG00000142632",FALSE,FALSE,NA
"232","CPLANE2","ENSG00000132881",FALSE,FALSE,NA
"233","FBXO42","ENSG00000037637",TRUE,FALSE,NA
"234","SZRD1","ENSG00000055070",TRUE,FALSE,NA
"235","SPATA21","ENSG00000187144",FALSE,FALSE,NA
"236","NECAP2","ENSG00000157191",TRUE,FALSE,NA
"237","LINC01772","ENSG00000226029",FALSE,FALSE,NA
"238","AL137802.2","ENSG00000261135",FALSE,FALSE,NA
"239","NBPF1","ENSG00000219481",TRUE,FALSE,NA
"240","CROCC","ENSG00000058453",TRUE,FALSE,NA
"241","BX284668.5","ENSG00000238142",FALSE,FALSE,NA
"242","BX284668.6","ENSG00000272426",FALSE,FALSE,NA
"243","AL049569.1","ENSG00000226526",FALSE,FALSE,NA
"244","ATP13A2","ENSG00000159363",TRUE,FALSE,NA
"245","SDHB","ENSG00000117118",TRUE,FALSE,NA
"246","PADI2","ENSG00000117115",TRUE,FALSE,NA
"247","PADI3","ENSG00000142619",FALSE,FALSE,NA
"248","PADI4","ENSG00000159339",FALSE,FALSE,NA
"249","PADI6","ENSG00000276747",FALSE,FALSE,NA
"250","RCC2","ENSG00000179051",TRUE,FALSE,NA
"251","ARHGEF10L","ENSG00000074964",TRUE,FALSE,NA
"252","AL136529.1","ENSG00000236648",FALSE,FALSE,NA
"253","ACTL8","ENSG00000117148",FALSE,FALSE,NA
"254","AL357509.1","ENSG00000284653",FALSE,FALSE,NA
"255","LINC01654","ENSG00000261781",FALSE,FALSE,NA
"256","IGSF21","ENSG00000117154",TRUE,FALSE,NA
"257","IGSF21-AS1","ENSG00000230035",FALSE,FALSE,NA
"258","AL591896.1","ENSG00000225387",FALSE,FALSE,NA
"259","PAX7","ENSG00000009709",FALSE,FALSE,NA
"260","AL080251.1","ENSG00000255275",FALSE,FALSE,NA
"261","IFFO2","ENSG00000169991",TRUE,FALSE,NA
"262","UBR4","ENSG00000127481",TRUE,TRUE,487
"263","AL035413.1","ENSG00000230424",TRUE,FALSE,NA
"264","EMC1","ENSG00000127463",TRUE,FALSE,NA
"265","MRTO4","ENSG00000053372",TRUE,FALSE,NA
"266","AKR7A3","ENSG00000162482",FALSE,FALSE,NA
"267","AKR7A2","ENSG00000053371",TRUE,FALSE,NA
"268","PQLC2","ENSG00000040487",FALSE,FALSE,NA
"269","CAPZB","ENSG00000077549",TRUE,TRUE,686
"270","AL031727.2","ENSG00000235185",FALSE,FALSE,NA
"271","NBL1","ENSG00000158747",TRUE,FALSE,NA
"272","HTR6","ENSG00000158748",FALSE,FALSE,NA
"273","TMCO4","ENSG00000162542",TRUE,FALSE,NA
"274","OTUD3","ENSG00000169914",TRUE,FALSE,NA
"275","PLA2G5","ENSG00000127472",FALSE,FALSE,NA
"276","PLA2G2C","ENSG00000187980",FALSE,FALSE,NA
"277","UBXN10-AS1","ENSG00000225986",FALSE,FALSE,NA
"278","UBXN10","ENSG00000162543",FALSE,FALSE,NA
"279","VWA5B1","ENSG00000158816",FALSE,FALSE,NA
"280","AL020998.1","ENSG00000226664",FALSE,FALSE,NA
"281","LINC01141","ENSG00000236963",TRUE,FALSE,NA
"282","CAMK2N1","ENSG00000162545",TRUE,FALSE,NA
"283","MUL1","ENSG00000090432",FALSE,FALSE,NA
"284","FAM43B","ENSG00000183114",FALSE,FALSE,NA
"285","CDA","ENSG00000158825",FALSE,FALSE,NA
"286","PINK1","ENSG00000158828",TRUE,FALSE,NA
"287","PINK1-AS","ENSG00000117242",FALSE,FALSE,NA
"288","DDOST","ENSG00000244038",TRUE,FALSE,NA
"289","KIF17","ENSG00000117245",TRUE,FALSE,NA
"290","SH2D5","ENSG00000189410",FALSE,FALSE,NA
"291","HP1BP3","ENSG00000127483",TRUE,TRUE,796
"292","EIF4G3","ENSG00000075151",TRUE,TRUE,864
"293","ECE1","ENSG00000117298",TRUE,FALSE,NA
"294","NBPF3","ENSG00000142794",TRUE,FALSE,NA
"295","ALPL","ENSG00000162551",FALSE,FALSE,NA
"296","AL359815.1","ENSG00000233431",FALSE,FALSE,NA
"297","RAP1GAP","ENSG00000076864",TRUE,FALSE,NA
"298","USP48","ENSG00000090686",TRUE,TRUE,699
"299","LDLRAD2","ENSG00000187942",FALSE,FALSE,NA
"300","HSPG2","ENSG00000142798",FALSE,FALSE,NA
"301","CELA3B","ENSG00000219073",FALSE,FALSE,NA
"302","CDC42","ENSG00000070831",TRUE,FALSE,NA
"303","AL031281.2","ENSG00000271840",FALSE,FALSE,NA
"304","WNT4","ENSG00000162552",FALSE,FALSE,NA
"305","ZBTB40","ENSG00000184677",TRUE,FALSE,NA
"306","EPHA8","ENSG00000070886",FALSE,FALSE,NA
"307","C1QA","ENSG00000173372",FALSE,FALSE,NA
"308","C1QC","ENSG00000159189",FALSE,FALSE,NA
"309","C1QB","ENSG00000173369",FALSE,FALSE,NA
"310","EPHB2","ENSG00000133216",TRUE,FALSE,NA
"311","TEX46","ENSG00000227868",FALSE,FALSE,NA
"312","KDM1A","ENSG00000004487",TRUE,FALSE,NA
"313","AL031428.1","ENSG00000240553",TRUE,FALSE,NA
"314","LUZP1","ENSG00000169641",TRUE,FALSE,NA
"315","HTR1D","ENSG00000179546",FALSE,FALSE,NA
"316","LINC01355","ENSG00000261326",TRUE,FALSE,NA
"317","AL109936.6","ENSG00000284726",FALSE,FALSE,NA
"318","HNRNPR","ENSG00000125944",TRUE,TRUE,284
"319","ZNF436","ENSG00000125945",FALSE,FALSE,NA
"320","ZNF436-AS1","ENSG00000249087",FALSE,FALSE,NA
"321","TCEA3","ENSG00000204219",FALSE,FALSE,NA
"322","ASAP3","ENSG00000088280",TRUE,FALSE,NA
"323","ID3","ENSG00000117318",FALSE,FALSE,NA
"324","MDS2","ENSG00000197880",FALSE,FALSE,NA
"325","RPL11","ENSG00000142676",TRUE,FALSE,NA
"326","ELOA","ENSG00000011007",TRUE,FALSE,NA
"327","ELOA-AS1","ENSG00000236810",TRUE,FALSE,NA
"328","PITHD1","ENSG00000057757",TRUE,FALSE,NA
"329","LYPLA2","ENSG00000011009",FALSE,FALSE,NA
"330","GALE","ENSG00000117308",FALSE,FALSE,NA
"331","HMGCL","ENSG00000117305",TRUE,FALSE,NA
"332","FUCA1","ENSG00000179163",TRUE,FALSE,NA
"333","CNR2","ENSG00000188822",FALSE,FALSE,NA
"334","PNRC2","ENSG00000189266",TRUE,FALSE,NA
"335","SRSF10","ENSG00000188529",TRUE,FALSE,NA
"336","AL591178.1","ENSG00000225315",FALSE,FALSE,NA
"337","MYOM3","ENSG00000142661",FALSE,FALSE,NA
"338","IFNLR1","ENSG00000185436",FALSE,FALSE,NA
"339","AL590683.1","ENSG00000230023",FALSE,FALSE,NA
"340","AL138902.1","ENSG00000232298",FALSE,FALSE,NA
"341","GRHL3","ENSG00000158055",FALSE,FALSE,NA
"342","STPG1","ENSG00000001460",TRUE,FALSE,NA
"343","NIPAL3","ENSG00000001461",TRUE,FALSE,NA
"344","RCAN3","ENSG00000117602",TRUE,FALSE,NA
"345","AL445686.2","ENSG00000264443",FALSE,FALSE,NA
"346","NCMAP","ENSG00000184454",FALSE,FALSE,NA
"347","SRRM1","ENSG00000133226",TRUE,FALSE,NA
"348","CLIC4","ENSG00000169504",TRUE,FALSE,NA
"349","RUNX3","ENSG00000020633",FALSE,FALSE,NA
"350","AL050344.1","ENSG00000233755",FALSE,FALSE,NA
"351","SYF2","ENSG00000117614",TRUE,FALSE,NA
"352","RSRP1","ENSG00000117616",TRUE,TRUE,372
"353","AL031432.3","ENSG00000272432",FALSE,FALSE,NA
"354","RHD","ENSG00000187010",FALSE,FALSE,NA
"355","TMEM50A","ENSG00000183726",TRUE,FALSE,NA
"356","RHCE","ENSG00000188672",FALSE,FALSE,NA
"357","MACO1","ENSG00000204178",TRUE,FALSE,NA
"358","LDLRAP1","ENSG00000157978",TRUE,FALSE,NA
"359","AL606491.1","ENSG00000225643",FALSE,FALSE,NA
"360","MAN1C1","ENSG00000117643",TRUE,FALSE,NA
"361","AL031280.1","ENSG00000233478",FALSE,FALSE,NA
"362","SELENON","ENSG00000162430",FALSE,FALSE,NA
"363","AL020996.2","ENSG00000255054",FALSE,FALSE,NA
"364","AL020996.1","ENSG00000228172",FALSE,FALSE,NA
"365","MTFR1L","ENSG00000117640",TRUE,FALSE,NA
"366","AUNIP","ENSG00000127423",FALSE,FALSE,NA
"367","AL033528.2","ENSG00000236528",FALSE,FALSE,NA
"368","PAQR7","ENSG00000182749",TRUE,FALSE,NA
"369","STMN1","ENSG00000117632",TRUE,FALSE,NA
"370","PAFAH2","ENSG00000158006",TRUE,FALSE,NA
"371","EXTL1","ENSG00000158008",FALSE,FALSE,NA
"372","SLC30A2","ENSG00000158014",FALSE,FALSE,NA
"373","TRIM63","ENSG00000158022",FALSE,FALSE,NA
"374","PDIK1L","ENSG00000175087",TRUE,FALSE,NA
"375","FAM110D","ENSG00000197245",FALSE,FALSE,NA
"376","ZNF593","ENSG00000142684",FALSE,FALSE,NA
"377","CNKSR1","ENSG00000142675",FALSE,FALSE,NA
"378","CEP85","ENSG00000130695",TRUE,FALSE,NA
"379","SH3BGRL3","ENSG00000142669",FALSE,FALSE,NA
"380","UBXN11","ENSG00000158062",FALSE,FALSE,NA
"381","CD52","ENSG00000169442",FALSE,FALSE,NA
"382","CRYBG2","ENSG00000176092",FALSE,FALSE,NA
"383","DHDDS","ENSG00000117682",TRUE,FALSE,NA
"384","AL513365.2","ENSG00000225891",FALSE,FALSE,NA
"385","HMGN2","ENSG00000198830",TRUE,FALSE,NA
"386","RPS6KA1","ENSG00000117676",TRUE,FALSE,NA
"387","ARID1A","ENSG00000117713",TRUE,TRUE,271
"388","PIGV","ENSG00000060642",FALSE,FALSE,NA
"389","ZDHHC18","ENSG00000204160",TRUE,FALSE,NA
"390","GPN2","ENSG00000142751",TRUE,FALSE,NA
"391","GPATCH3","ENSG00000198746",FALSE,FALSE,NA
"392","NUDC","ENSG00000090273",TRUE,FALSE,NA
"393","TRNP1","ENSG00000253368",FALSE,FALSE,NA
"394","TENT5B","ENSG00000158246",FALSE,FALSE,NA
"395","SLC9A1","ENSG00000090020",TRUE,FALSE,NA
"396","AL590640.1","ENSG00000224311",FALSE,FALSE,NA
"397","WDTC1","ENSG00000142784",TRUE,FALSE,NA
"398","TMEM222","ENSG00000186501",TRUE,FALSE,NA
"399","SYTL1","ENSG00000142765",FALSE,FALSE,NA
"400","MAP3K6","ENSG00000142733",FALSE,FALSE,NA
"401","GPR3","ENSG00000181773",FALSE,FALSE,NA
"402","WASF2","ENSG00000158195",TRUE,TRUE,647
"403","FO393419.2","ENSG00000241169",FALSE,FALSE,NA
"404","BX293535.1","ENSG00000237429",FALSE,FALSE,NA
"405","AHDC1","ENSG00000126705",TRUE,FALSE,NA
"406","FGR","ENSG00000000938",FALSE,FALSE,NA
"407","IFI6","ENSG00000126709",FALSE,FALSE,NA
"408","AL445490.1","ENSG00000225886",FALSE,FALSE,NA
"409","FAM76A","ENSG00000009780",TRUE,FALSE,NA
"410","STX12","ENSG00000117758",TRUE,FALSE,NA
"411","PPP1R8","ENSG00000117751",TRUE,FALSE,NA
"412","THEMIS2","ENSG00000130775",FALSE,FALSE,NA
"413","RPA2","ENSG00000117748",TRUE,FALSE,NA
"414","SMPDL3B","ENSG00000130768",FALSE,FALSE,NA
"415","AL512288.1","ENSG00000227050",FALSE,FALSE,NA
"416","XKR8","ENSG00000158156",FALSE,FALSE,NA
"417","EYA3","ENSG00000158161",TRUE,FALSE,NA
"418","PTAFR","ENSG00000169403",TRUE,FALSE,NA
"419","DNAJC8","ENSG00000126698",TRUE,FALSE,NA
"420","ATP5IF1","ENSG00000130770",TRUE,FALSE,NA
"421","AL353622.1","ENSG00000270605",FALSE,FALSE,NA
"422","SESN2","ENSG00000130766",FALSE,FALSE,NA
"423","MED18","ENSG00000130772",FALSE,FALSE,NA
"424","PHACTR4","ENSG00000204138",TRUE,TRUE,200
"425","RCC1","ENSG00000180198",TRUE,FALSE,NA
"426","TRNAU1AP","ENSG00000180098",TRUE,FALSE,NA
"427","SNHG12","ENSG00000197989",FALSE,FALSE,NA
"428","TAF12","ENSG00000120656",TRUE,FALSE,NA
"429","RAB42","ENSG00000188060",FALSE,FALSE,NA
"430","LINC01715","ENSG00000229388",FALSE,FALSE,NA
"431","AL360012.1","ENSG00000270103",FALSE,FALSE,NA
"432","GMEB1","ENSG00000162419",TRUE,FALSE,NA
"433","YTHDF2","ENSG00000198492",TRUE,FALSE,NA
"434","OPRD1","ENSG00000116329",TRUE,FALSE,NA
"435","AL009181.1","ENSG00000233427",FALSE,FALSE,NA
"436","EPB41","ENSG00000159023",TRUE,FALSE,NA
"437","TMEM200B","ENSG00000253304",FALSE,FALSE,NA
"438","AL357500.1","ENSG00000225750",FALSE,FALSE,NA
"439","SRSF4","ENSG00000116350",TRUE,TRUE,836
"440","MECR","ENSG00000116353",TRUE,FALSE,NA
"441","PTPRU","ENSG00000060656",TRUE,FALSE,NA
"442","LINC01756","ENSG00000230523",FALSE,FALSE,NA
"443","AL645944.2","ENSG00000284676",FALSE,FALSE,NA
"444","MATN1","ENSG00000162510",FALSE,FALSE,NA
"445","MATN1-AS1","ENSG00000186056",FALSE,FALSE,NA
"446","LAPTM5","ENSG00000162511",TRUE,FALSE,NA
