"","Symbol","ensembl_id","top50","PropZero_filter","rank_invar"
"1","AL627309.1","ENSG00000238009",TRUE,FALSE,NA
"2","AC114498.1","ENSG00000235146",FALSE,FALSE,NA
"3","AL669831.5","ENSG00000237491",TRUE,FALSE,NA
"4","LINC00115","ENSG00000225880",FALSE,FALSE,NA
"5","FAM41C","ENSG00000230368",FALSE,FALSE,NA
"6","AL645608.7","ENSG00000272438",FALSE,FALSE,NA
"7","SAMD11","ENSG00000187634",FALSE,FALSE,NA
"8","NOC2L","ENSG00000188976",TRUE,FALSE,NA
"9","KLHL17","ENSG00000187961",FALSE,FALSE,NA
"10","AL645608.8","ENSG00000272512",FALSE,FALSE,NA
"11","HES4","ENSG00000188290",TRUE,FALSE,NA
"12","ISG15","ENSG00000187608",FALSE,FALSE,NA
"13","AL645608.2","ENSG00000224969",FALSE,FALSE,NA
"14","AGRN","ENSG00000188157",TRUE,FALSE,NA
"15","C1orf159","ENSG00000131591",TRUE,FALSE,NA
"16","TTLL10","ENSG00000162571",FALSE,FALSE,NA
"17","TNFRSF18","ENSG00000186891",FALSE,FALSE,NA
"18","TNFRSF4","ENSG00000186827",FALSE,FALSE,NA
"19","SDF4","ENSG00000078808",TRUE,FALSE,NA
"20","B3GALT6","ENSG00000176022",FALSE,FALSE,NA
"21","C1QTNF12","ENSG00000184163",FALSE,FALSE,NA
"22","UBE2J2","ENSG00000160087",TRUE,FALSE,NA
"23","LINC01786","ENSG00000230415",FALSE,FALSE,NA
"24","SCNN1D","ENSG00000162572",FALSE,FALSE,NA
"25","ACAP3","ENSG00000131584",TRUE,FALSE,NA
"26","PUSL1","ENSG00000169972",FALSE,FALSE,NA
"27","INTS11","ENSG00000127054",TRUE,FALSE,NA
"28","CPTP","ENSG00000224051",FALSE,FALSE,NA
"29","DVL1","ENSG00000107404",TRUE,FALSE,NA
"30","MXRA8","ENSG00000162576",FALSE,FALSE,NA
"31","AURKAIP1","ENSG00000175756",TRUE,FALSE,NA
"32","CCNL2","ENSG00000221978",TRUE,FALSE,NA
"33","MRPL20","ENSG00000242485",TRUE,FALSE,NA
"34","AL391244.3","ENSG00000272455",FALSE,FALSE,NA
"35","ANKRD65","ENSG00000235098",FALSE,FALSE,NA
"36","TMEM88B","ENSG00000205116",FALSE,FALSE,NA
